                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0282,                 0.6401,                 1.0229,                0.88377,                0.78951,                0.88082,                 0.6137,                0.96848,                0.58172,                 1.0108,               0.008878,               0.008878,               0.008878
                     37,                 1.0375,                 0.6416,                 1.0198,                0.88276,                0.78409,                0.88019,                0.61499,                0.95211,                 0.5699,                 1.0122,               0.008845,               0.008845,               0.008845
                     38,                 1.0387,                0.64449,                 1.0214,                0.88207,                 0.7834,                0.87603,                0.59879,                 1.0148,                0.58714,                 1.0266,               0.008812,               0.008812,               0.008812
                     39,                 1.0178,                0.63313,                 1.0229,                0.89952,                0.79262,                0.88576,                0.62022,                0.96643,                0.56932,                 1.0125,               0.008779,               0.008779,               0.008779
                     40,                 1.0311,                0.64681,                   1.03,                0.90208,                0.76674,                0.87794,                0.60417,                0.95178,                0.58238,                 1.0071,               0.008746,               0.008746,               0.008746
                     41,                 1.0184,                0.62812,                 1.0256,                 0.9124,                0.78756,                0.88509,                 0.6278,                0.92831,                0.55628,                 1.0028,               0.008713,               0.008713,               0.008713
                     42,                 1.0228,                0.63088,                 1.0121,                0.90449,                0.79113,                0.89034,                0.63816,                0.94688,                0.57133,                 1.0033,                0.00868,                0.00868,                0.00868
                     43,                 1.0137,                0.63246,                 1.0218,                0.89701,                0.80073,                0.88973,                0.63465,                0.93298,                0.54555,                   1.01,               0.008647,               0.008647,               0.008647
                     44,                 1.0025,                0.61422,                 1.0116,                0.89936,                0.79441,                0.88865,                0.62303,                0.95241,                0.57261,                 1.0115,               0.008614,               0.008614,               0.008614
                     45,                 1.0043,                0.61863,                 1.0058,                0.90095,                0.78756,                0.89501,                0.63065,                0.93859,                0.55142,                 1.0042,               0.008581,               0.008581,               0.008581
                     46,                 1.0069,                0.62539,                 1.0173,                0.89595,                0.79917,                0.89087,                0.62439,                0.96841,                0.54979,                 1.0115,               0.008548,               0.008548,               0.008548
                     47,                  1.006,                0.62128,                 1.0183,                0.90645,                 0.8072,                0.89456,                0.63751,                0.92473,                0.53612,                 1.0036,               0.008515,               0.008515,               0.008515
                     48,                0.99219,                0.61221,                 1.0117,                0.89765,                0.78786,                0.89278,                0.61374,                  1.001,                0.55632,                 1.0188,               0.008482,               0.008482,               0.008482
                     49,                0.99215,                0.60202,                 1.0023,                0.91491,                0.78191,                0.88683,                0.63767,                0.91432,                 0.5441,                 1.0007,               0.008449,               0.008449,               0.008449
                     50,                0.98717,                0.60408,                 1.0119,                0.89423,                0.79485,                0.88554,                0.60732,                0.99717,                0.56651,                 1.0146,               0.008416,               0.008416,               0.008416
                     51,                0.99031,                0.60445,                  1.009,                0.90038,                0.79063,                0.88985,                0.63398,                0.94311,                0.54767,                 1.0071,               0.008383,               0.008383,               0.008383
                     52,                0.98832,                0.60559,                 1.0068,                0.90998,                0.79381,                0.89232,                0.63892,                0.92258,                 0.5436,                 1.0008,                0.00835,                0.00835,                0.00835
                     53,                0.97939,                0.59895,                 1.0102,                0.89295,                0.81494,                 0.8943,                0.64301,                0.90782,                0.52547,                0.98793,               0.008317,               0.008317,               0.008317
                     54,                0.98527,                0.60353,                 1.0062,                0.90686,                0.81404,                0.90078,                0.63282,                0.93859,                0.52156,                 0.9949,               0.008284,               0.008284,               0.008284
                     55,                0.97244,                0.58502,                0.99673,                0.90473,                0.80661,                0.89399,                  0.623,                0.99219,                0.54227,                 1.0148,               0.008251,               0.008251,               0.008251
                     56,                0.97075,                0.57782,                  1.001,                0.91107,                0.79798,                0.89173,                0.63051,                0.94304,                0.53732,                 1.0033,               0.008218,               0.008218,               0.008218
                     57,                0.96354,                0.58666,                0.99982,                0.92347,                0.80393,                0.90201,                0.65292,                0.89054,                0.51477,                0.98804,               0.008185,               0.008185,               0.008185
                     58,                0.97218,                0.58423,                  1.002,                0.92869,                0.79817,                0.90193,                0.64487,                0.92337,                0.51647,                0.99937,               0.008152,               0.008152,               0.008152
                     59,                0.96501,                0.57769,                0.99203,                0.89854,                0.81821,                0.89818,                0.65061,                0.89284,                0.51537,                0.98622,               0.008119,               0.008119,               0.008119
                     60,                0.96525,                0.57782,                0.99821,                0.89178,                0.82059,                 0.8973,                0.63638,                0.93503,                0.51564,                0.99892,               0.008086,               0.008086,               0.008086
                     61,                0.97145,                0.59246,                0.99672,                0.90508,                0.81423,                0.89955,                0.63275,                0.94222,                0.52126,                 1.0017,               0.008053,               0.008053,               0.008053
                     62,                 0.9571,                0.58131,                0.99534,                 0.9031,                0.80969,                 0.9045,                0.65149,                0.90246,                0.51109,                0.99071,                0.00802,                0.00802,                0.00802
                     63,                 0.9443,                0.56443,                0.98351,                0.89931,                0.82645,                0.90223,                0.65271,                0.91156,                0.51052,                0.98843,               0.007987,               0.007987,               0.007987
                     64,                0.95511,                0.57925,                0.99462,                0.91107,                0.81642,                0.91061,                0.65447,                0.90461,                0.50445,                0.98435,               0.007954,               0.007954,               0.007954
                     65,                0.95964,                0.57639,                0.99616,                0.90267,                0.83612,                0.90794,                0.65837,                0.90356,                0.49587,                  0.989,               0.007921,               0.007921,               0.007921
                     66,                0.94981,                0.57212,                0.98538,                0.90137,                0.82118,                0.90736,                 0.6404,                0.93801,                0.50467,                  1.001,               0.007888,               0.007888,               0.007888
                     67,                0.94899,                0.57014,                0.99099,                0.92512,                0.80868,                0.90381,                0.64195,                0.92689,                0.50503,                0.99251,               0.007855,               0.007855,               0.007855
                     68,                0.95868,                0.57608,                0.99367,                0.92589,                0.81999,                0.90815,                0.66814,                0.86712,                0.49304,                0.97819,               0.007822,               0.007822,               0.007822
