                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1341,                0.64099,                 1.0145,                0.89621,                0.77077,                0.87198,                0.58783,                 1.1523,                 0.6016,                 1.0275,               0.008878,               0.008878,               0.008878
                     37,                 1.1425,                0.64758,                 1.0103,                0.88656,                0.76822,                0.87285,                0.58512,                 1.1317,                0.60264,                 1.0194,               0.008845,               0.008845,               0.008845
                     38,                 1.1489,                0.64461,                 1.0128,                0.89765,                0.77774,                 0.8835,                0.60523,                 1.1257,                0.59898,                 1.0284,               0.008812,               0.008812,               0.008812
                     39,                   1.12,                0.63659,                 1.0148,                0.89306,                0.78265,                0.88414,                0.59658,                 1.1546,                0.59687,                 1.0449,               0.008779,               0.008779,               0.008779
                     40,                 1.1404,                0.65275,                 1.0223,                0.88975,                0.78786,                0.88919,                0.61935,                 1.0528,                0.58074,                 1.0007,               0.008746,               0.008746,               0.008746
                     41,                 1.1211,                0.62747,                 1.0167,                0.88911,                0.78009,                0.88286,                0.60629,                 1.1094,                0.57176,                 1.0273,               0.008713,               0.008713,               0.008713
                     42,                 1.1222,                0.63553,                 1.0058,                0.89454,                0.77566,                0.88163,                0.60487,                 1.1269,                0.59322,                 1.0297,                0.00868,                0.00868,                0.00868
                     43,                 1.1218,                0.64342,                 1.0129,                0.90093,                0.79976,                0.89039,                0.63159,                 1.0434,                0.56708,                 1.0108,               0.008647,               0.008647,               0.008647
                     44,                 1.1004,                0.62272,                 1.0042,                0.90092,                0.77917,                0.88678,                0.60865,                 1.1097,                 0.5897,                  1.013,               0.008614,               0.008614,               0.008614
                     45,                 1.1059,                0.62673,                 1.0004,                0.89831,                0.80095,                0.89631,                0.62089,                 1.0781,                0.56343,                 1.0102,               0.008581,               0.008581,               0.008581
                     46,                 1.1118,                0.63339,                 1.0101,                0.89822,                0.79976,                0.89031,                0.61271,                 1.1049,                 0.5572,                 1.0202,               0.008548,               0.008548,               0.008548
                     47,                 1.1048,                0.62547,                 1.0085,                 0.8897,                0.80482,                0.89111,                0.62359,                 1.0692,                0.56524,                 1.0113,               0.008515,               0.008515,               0.008515
                     48,                 1.0947,                0.61966,                 1.0069,                0.89072,                0.79798,                0.89109,                0.60868,                 1.1235,                  0.578,                 1.0266,               0.008482,               0.008482,               0.008482
                     49,                 1.0906,                0.60462,                0.99311,                0.90665,                0.80625,                0.89945,                0.63948,                 1.0266,                0.54788,                 1.0046,               0.008449,               0.008449,               0.008449
                     50,                 1.0819,                0.60678,                 1.0023,                0.89556,                0.77556,                0.87889,                0.59177,                 1.1499,                0.58512,                 1.0257,               0.008416,               0.008416,               0.008416
                     51,                 1.0888,                0.60697,                0.99866,                0.89461,                0.79054,                0.89438,                0.62606,                 1.0606,                0.55851,                 1.0049,               0.008383,               0.008383,               0.008383
                     52,                 1.0853,                 0.6097,                0.99889,                0.88834,                0.79411,                0.88745,                0.61101,                 1.0915,                0.57584,                 1.0096,                0.00835,                0.00835,                0.00835
                     53,                 1.0684,                0.60853,                0.99901,                 0.8885,                0.81325,                0.90123,                 0.6211,                 1.1182,                 0.5509,                 1.0213,               0.008317,               0.008317,               0.008317
                     54,                 1.0808,                0.60815,                 0.9969,                 0.9001,                0.79232,                0.89541,                0.61872,                 1.0836,                 0.5509,                 1.0049,               0.008284,               0.008284,               0.008284
                     55,                  1.063,                 0.5917,                 0.9889,                0.89261,                0.79946,                0.89548,                0.61978,                 1.1148,                0.56124,                 1.0125,               0.008251,               0.008251,               0.008251
                     56,                 1.0651,                0.58593,                0.99408,                0.90231,                0.79798,                0.90209,                0.61246,                 1.1117,                0.55392,                 1.0159,               0.008218,               0.008218,               0.008218
                     57,                 1.0531,                0.59635,                0.99369,                0.89305,                0.80741,                0.89967,                0.62993,                 1.0475,                0.53789,                  1.001,               0.008185,               0.008185,               0.008185
                     58,                 1.0701,                0.59115,                 0.9952,                0.89206,                0.80036,                0.89528,                 0.6271,                 1.0793,                0.55924,                 1.0073,               0.008152,               0.008152,               0.008152
                     59,                 1.0548,                0.58392,                0.98614,                0.91035,                0.80968,                0.90647,                0.63498,                 1.0499,                0.53378,                0.99807,               0.008119,               0.008119,               0.008119
                     60,                  1.054,                0.58364,                0.99033,                0.90917,                0.81494,                0.90564,                0.64315,                 1.0069,                 0.5287,                0.99461,               0.008086,               0.008086,               0.008086
                     61,                 1.0678,                0.59411,                0.99314,                0.89444,                0.81583,                0.90008,                0.63235,                 1.0385,                0.53048,                0.99772,               0.008053,               0.008053,               0.008053
                     62,                 1.0458,                0.58532,                0.98889,                0.90659,                0.81137,                0.90559,                  0.637,                 1.0497,                0.53147,                 1.0064,                0.00802,                0.00802,                0.00802
                     63,                 1.0218,                0.56714,                0.97475,                0.90956,                 0.7953,                 0.9038,                0.63693,                 1.0346,                0.52077,                0.99034,               0.007987,               0.007987,               0.007987
                     64,                 1.0531,                0.58528,                0.98839,                0.90489,                0.80114,                 0.9025,                0.63203,                 1.0393,                0.52586,                0.99098,               0.007954,               0.007954,               0.007954
                     65,                 1.0491,                0.57885,                0.98929,                0.90989,                0.80988,                0.90183,                0.63341,                 1.0645,                 0.5359,                 1.0069,               0.007921,               0.007921,               0.007921
                     66,                 1.0383,                0.57466,                0.98052,                0.89664,                0.81642,                0.90626,                 0.6378,                 1.0276,                0.52011,                0.99549,               0.007888,               0.007888,               0.007888
                     67,                 1.0326,                0.57306,                0.98363,                 0.9046,                0.82383,                0.91115,                0.64573,                 1.0112,                0.51416,                0.99052,               0.007855,               0.007855,               0.007855
                     68,                 1.0486,                 0.5807,                0.98659,                0.90507,                0.81791,                0.90648,                0.64377,                 1.0316,                0.52219,                0.99614,               0.007822,               0.007822,               0.007822
                     69,                 1.0331,                0.57212,                0.98694,                0.90437,                0.81761,                0.90705,                 0.6332,                 1.0552,                 0.5244,                 1.0058,               0.007789,               0.007789,               0.007789
                     70,                 1.0408,                0.57652,                0.99299,                0.90031,                0.82684,                 0.9092,                0.64848,                0.99546,                0.51104,                0.98432,               0.007756,               0.007756,               0.007756
                     71,                 1.0153,                0.55695,                0.97827,                0.91523,                0.80948,                0.90839,                0.65862,                0.98164,                0.51947,                0.98715,               0.007723,               0.007723,               0.007723
                     72,                 1.0299,                0.55966,                0.97809,                0.90995,                0.80422,                0.90553,                 0.6249,                 1.0681,                 0.5253,                 1.0028,                0.00769,                0.00769,                0.00769
                     73,                 1.0255,                0.57042,                 0.9772,                0.92047,                0.81315,                0.91059,                0.64371,                 1.0131,                0.50163,                0.99085,               0.007657,               0.007657,               0.007657
                     74,                 1.0375,                0.55896,                0.98437,                0.92548,                0.81295,                 0.9148,                0.65866,                0.99897,                0.49739,                0.99115,               0.007624,               0.007624,               0.007624
                     75,                 1.0208,                0.56116,                0.97923,                 0.9143,                0.80945,                0.91203,                0.64996,                 1.0153,                0.51285,                0.99642,               0.007591,               0.007591,               0.007591
                     76,                 1.0181,                0.56315,                0.98215,                0.91611,                0.82532,                 0.9164,                0.65551,                 1.0082,                0.49846,                0.98987,               0.007558,               0.007558,               0.007558
                     77,                 1.0162,                0.55849,                0.97652,                0.91275,                0.82356,                0.91038,                0.65007,                 1.0104,                0.50599,                0.99196,               0.007525,               0.007525,               0.007525
                     78,                 1.0221,                0.56243,                0.97418,                0.91738,                0.83579,                0.91675,                0.66283,                0.99147,                 0.4967,                0.98201,               0.007492,               0.007492,               0.007492
                     79,                 1.0154,                0.55825,                0.97631,                0.89488,                0.83838,                0.91337,                0.66308,                0.98066,                0.49801,                0.98142,               0.007459,               0.007459,               0.007459
                     80,                 1.0127,                0.55183,                0.97831,                0.91585,                0.82895,                0.91669,                 0.6589,                0.99325,                 0.4906,                0.98028,               0.007426,               0.007426,               0.007426
                     81,                 1.0153,                0.55381,                0.97212,                0.90094,                0.83884,                  0.921,                0.67004,                0.97158,                0.48866,                0.98123,               0.007393,               0.007393,               0.007393
                     82,                 1.0253,                0.55371,                0.97053,                0.90277,                0.83704,                0.91922,                0.66409,                0.99252,                0.48736,                0.98528,                0.00736,                0.00736,                0.00736
                     83,                 1.0222,                0.56032,                0.98199,                0.92587,                0.82089,                0.91461,                0.66202,                0.97954,                0.48449,                0.98306,               0.007327,               0.007327,               0.007327
                     84,                  1.006,                0.54993,                0.97266,                0.91583,                0.82229,                0.91606,                0.66307,                0.97406,                0.48912,                 0.9795,               0.007294,               0.007294,               0.007294
                     85,                 1.0159,                 0.5518,                0.98026,                0.90253,                0.82099,                 0.9117,                0.65298,                 1.0063,                0.49888,                0.98791,               0.007261,               0.007261,               0.007261
                     86,                 1.0048,                0.54694,                0.96768,                 0.9234,                0.82386,                0.91698,                0.66127,                0.98815,                0.49374,                0.97937,               0.007228,               0.007228,               0.007228
                     87,                 1.0098,                0.54175,                0.97213,                0.92637,                0.82356,                0.91893,                0.66051,                0.99641,                0.48995,                0.98929,               0.007195,               0.007195,               0.007195
                     88,                  1.005,                0.54787,                0.97113,                0.91561,                0.82316,                0.91739,                  0.669,                0.95808,                0.47726,                0.97552,               0.007162,               0.007162,               0.007162
                     89,                0.99316,                0.53391,                0.96194,                0.90088,                0.83428,                0.91961,                 0.6687,                0.97026,                0.48046,                0.97774,               0.007129,               0.007129,               0.007129
                     90,                0.99869,                0.53651,                 0.9664,                0.90475,                 0.8365,                0.92131,                0.66185,                0.98905,                0.48172,                 0.9861,               0.007096,               0.007096,               0.007096
                     91,                0.97551,                0.52934,                0.96074,                0.91418,                0.82952,                0.92199,                0.67253,                0.95228,                0.47674,                0.97916,               0.007063,               0.007063,               0.007063
                     92,                 1.0119,                0.54111,                0.96836,                0.91256,                0.84082,                 0.9216,                 0.6704,                0.96464,                0.47944,                0.98154,                0.00703,                0.00703,                0.00703
                     93,                0.99758,                0.53513,                0.96252,                0.91633,                0.84391,                0.92084,                0.67767,                0.94701,                0.47007,                 0.9701,               0.006997,               0.006997,               0.006997
                     94,                0.99781,                0.54014,                0.96907,                0.91661,                0.83725,                0.92063,                0.67506,                0.96639,                0.47401,                0.97723,               0.006964,               0.006964,               0.006964
                     95,                0.98743,                0.52887,                0.96687,                0.91969,                0.84498,                0.92449,                0.68789,                 0.9142,                 0.4626,                 0.9631,               0.006931,               0.006931,               0.006931
                     96,                 1.0046,                0.53925,                0.96597,                0.91126,                0.84331,                0.92282,                0.67751,                0.94483,                0.46804,                0.97076,               0.006898,               0.006898,               0.006898
                     97,                0.98199,                0.52738,                0.96321,                 0.9162,                0.83219,                0.92176,                0.66737,                0.98705,                0.47629,                0.98129,               0.006865,               0.006865,               0.006865
                     98,                0.97707,                0.52934,                0.96243,                0.91837,                0.84013,                0.92332,                0.67495,                0.95549,                 0.4688,                0.97018,               0.006832,               0.006832,               0.006832
                     99,                  0.966,                0.52506,                0.95432,                0.91096,                0.84023,                0.92224,                0.67483,                0.95478,                0.46867,                0.97276,               0.006799,               0.006799,               0.006799
                    100,                0.99264,                0.52828,                0.95865,                0.91802,                0.83963,                0.92288,                 0.6773,                0.95057,                 0.4691,                0.97325,               0.006766,               0.006766,               0.006766
                    101,                0.98655,                0.52672,                0.96908,                0.90804,                0.84201,                0.92101,                0.67304,                0.96037,                0.46824,                 0.9716,               0.006733,               0.006733,               0.006733
                    102,                0.98004,                0.52155,                0.95755,                0.92907,                0.83794,                0.92313,                0.68064,                0.94129,                0.45967,                0.97035,                 0.0067,                 0.0067,                 0.0067
                    103,                0.97414,                0.52124,                0.96083,                0.92935,                0.83785,                0.92299,                0.68172,                0.93256,                0.46077,                0.96982,               0.006667,               0.006667,               0.006667
                    104,                0.97382,                0.52401,                 0.9585,                0.91706,                0.84223,                0.92362,                0.67869,                0.93998,                0.46112,                0.96981,               0.006634,               0.006634,               0.006634
                    105,                0.97158,                0.52063,                0.95998,                0.92241,                0.82981,                0.92178,                0.67816,                0.93788,                0.46242,                0.96865,               0.006601,               0.006601,               0.006601
                    106,                0.96418,                0.52262,                0.95165,                0.91754,                0.84201,                0.92094,                0.67145,                0.95562,                0.46311,                0.97809,               0.006568,               0.006568,               0.006568
                    107,                0.96236,                 0.5129,                0.95025,                0.91006,                0.83991,                 0.9212,                0.67344,                0.93516,                0.46002,                0.97042,               0.006535,               0.006535,               0.006535
                    108,                0.96747,                0.52235,                0.96014,                0.91588,                0.83755,                0.92278,                0.67694,                0.94706,                0.46327,                 0.9706,               0.006502,               0.006502,               0.006502
                    109,                0.97398,                0.52325,                0.95936,                0.91443,                0.84897,                0.92352,                 0.6816,                0.93799,                0.46214,                0.96891,               0.006469,               0.006469,               0.006469
                    110,                0.97544,                0.52714,                0.95463,                0.91639,                0.84826,                0.92374,                0.68268,                0.93194,                0.46091,                 0.9668,               0.006436,               0.006436,               0.006436
                    111,                0.97491,                0.52562,                0.96076,                0.91767,                0.85153,                0.92365,                0.67763,                0.94958,                0.45912,                0.97126,               0.006403,               0.006403,               0.006403
                    112,                0.97341,                 0.5174,                0.95287,                0.93014,                0.84647,                0.92642,                0.68657,                0.92541,                0.45307,                0.96575,                0.00637,                0.00637,                0.00637
                    113,                0.96888,                0.51757,                0.95843,                0.92785,                0.84112,                0.92411,                0.68155,                0.93886,                0.45678,                0.96689,               0.006337,               0.006337,               0.006337
                    114,                0.95711,                0.51676,                0.95508,                0.91795,                0.85004,                0.92786,                0.68638,                0.92595,                0.45269,                0.96877,               0.006304,               0.006304,               0.006304
                    115,                0.95836,                 0.5138,                0.95295,                0.92079,                0.85064,                 0.9278,                0.68192,                0.94403,                0.45168,                0.96912,               0.006271,               0.006271,               0.006271
                    116,                0.95228,                0.50218,                0.95016,                0.91875,                0.85455,                0.92608,                0.68475,                0.93492,                 0.4531,                0.96885,               0.006238,               0.006238,               0.006238
                    117,                0.96002,                 0.5136,                0.95537,                0.90626,                0.85719,                0.92747,                0.68661,                 0.9239,                 0.4511,                0.96578,               0.006205,               0.006205,               0.006205
                    118,                0.95121,                0.50474,                0.95648,                0.91731,                0.85481,                0.92898,                 0.6901,                0.91666,                0.44751,                0.96145,               0.006172,               0.006172,               0.006172
                    119,                0.96014,                0.50936,                0.94901,                0.92729,                 0.8424,                0.93133,                0.69141,                0.91651,                0.45117,                0.96015,               0.006139,               0.006139,               0.006139
