                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
46,0.53759,0.61028,1.0119,0.91627,0.78792,0.89798,0.62118,0.50587,0.5609,1.002,0.008515,0.008515,0.008515
47,0.55552,0.62503,1.0172,0.91005,0.8075,0.90159,0.63821,0.48376,0.54687,0.99548,0.008482,0.008482,0.008482
48,0.55148,0.61923,1.015,0.90414,0.80452,0.8988,0.64119,0.48334,0.55446,0.99211,0.008449,0.008449,0.008449
49,0.53466,0.60797,1.0084,0.9037,0.79946,0.8998,0.61418,0.52271,0.54552,1.0047,0.008416,0.008416,0.008416
50,0.53978,0.60642,1.0128,0.90926,0.80196,0.90318,0.62028,0.53945,0.55597,1.0207,0.008383,0.008383,0.008383
51,0.53983,0.59768,1.0077,0.91915,0.80169,0.90664,0.6377,0.50044,0.53758,0.99883,0.00835,0.00835,0.00835
52,0.54085,0.59669,1.0041,0.9162,0.79701,0.89652,0.61699,0.53093,0.55712,1.0077,0.008317,0.008317,0.008317
53,0.53106,0.59307,1.0015,0.8851,0.79054,0.88901,0.61506,0.5396,0.58082,1.0133,0.008284,0.008284,0.008284
54,0.54737,0.60149,1.0093,0.9151,0.76852,0.88805,0.6079,0.54165,0.5472,1.0044,0.008251,0.008251,0.008251
55,0.55203,0.59976,0.99901,0.92369,0.81791,0.91001,0.64894,0.50221,0.52266,0.99279,0.008218,0.008218,0.008218
56,0.54941,0.5871,1.0075,0.92337,0.81375,0.90858,0.64862,0.49963,0.53471,0.99017,0.008185,0.008185,0.008185
57,0.541,0.58366,0.99671,0.91632,0.81455,0.90901,0.65006,0.49794,0.5189,0.99101,0.008152,0.008152,0.008152
58,0.54709,0.58838,0.99299,0.91004,0.81375,0.90565,0.63714,0.53116,0.53324,1.0053,0.008119,0.008119,0.008119
59,0.55822,0.59067,1.0054,0.91415,0.82118,0.91249,0.65904,0.49574,0.52205,0.99234,0.008086,0.008086,0.008086
60,0.54133,0.58014,0.99737,0.90693,0.82634,0.9115,0.62911,0.54474,0.52529,1.0026,0.008053,0.008053,0.008053
61,0.55638,0.59028,1.0005,0.92033,0.81345,0.90792,0.64386,0.52382,0.53554,1.0001,0.00802,0.00802,0.00802
62,0.55432,0.58429,0.99396,0.91738,0.81166,0.90604,0.63439,0.52831,0.51779,0.99144,0.007987,0.007987,0.007987
63,0.55923,0.5799,0.99321,0.91265,0.81821,0.90738,0.64029,0.53046,0.52878,1.0011,0.007954,0.007954,0.007954
64,0.53352,0.56617,0.98711,0.90771,0.81494,0.90515,0.63046,0.54353,0.51688,0.99525,0.007921,0.007921,0.007921
65,0.54258,0.56651,0.99066,0.91697,0.82416,0.91456,0.65427,0.51216,0.51335,0.98574,0.007888,0.007888,0.007888
66,0.54033,0.5659,0.99141,0.9057,0.82587,0.91086,0.64593,0.5239,0.52265,0.98459,0.007855,0.007855,0.007855
67,0.55128,0.56659,0.98851,0.91971,0.81761,0.91029,0.65495,0.50912,0.50014,0.98326,0.007822,0.007822,0.007822
68,0.55531,0.57462,0.98955,0.92251,0.8194,0.91486,0.64328,0.54772,0.50835,1.0007,0.007789,0.007789,0.007789
69,0.55932,0.57738,0.99527,0.91648,0.82446,0.91183,0.66115,0.51685,0.50635,0.98532,0.007756,0.007756,0.007756
70,0.56578,0.58025,0.99564,0.92277,0.83191,0.91802,0.66061,0.51977,0.49817,0.98585,0.007723,0.007723,0.007723
71,0.5524,0.56247,0.98596,0.91942,0.82416,0.91158,0.66205,0.51349,0.49919,0.9844,0.00769,0.00769,0.00769
