                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0261,                0.63334,                 1.0232,                0.87653,                0.77774,                0.88218,                0.60296,                0.97449,                0.56904,                 1.0152,               0.008878,               0.008878,               0.008878
                     37,                 1.0332,                0.64085,                 1.0215,                0.90051,                0.77298,                0.88172,                0.61586,                0.94338,                0.56664,                  1.005,               0.008845,               0.008845,               0.008845
                     38,                 1.0375,                0.63911,                 1.0235,                0.88753,                0.80809,                0.88642,                0.61324,                 1.0006,                0.57804,                 1.0211,               0.008812,               0.008812,               0.008812
                     39,                 1.0199,                0.63486,                 1.0237,                0.90343,                0.78489,                0.89018,                0.62882,                0.95533,                 0.5615,                 1.0121,               0.008779,               0.008779,               0.008779
                     40,                 1.0295,                0.64026,                  1.028,                0.89212,                0.76524,                0.88161,                 0.5994,                0.99285,                0.57324,                 1.0145,               0.008746,               0.008746,               0.008746
                     41,                 1.0162,                0.62622,                 1.0247,                 0.9023,                0.77893,                0.88727,                0.61231,                0.96172,                0.56189,                 1.0095,               0.008713,               0.008713,               0.008713
                     42,                 1.0194,                0.62962,                  1.012,                0.91034,                0.79151,                0.89475,                0.63165,                0.94583,                0.55495,                 1.0016,                0.00868,                0.00868,                0.00868
                     43,                 1.0151,                0.63303,                 1.0188,                0.89939,                0.80482,                0.89152,                0.61274,                 1.0143,                0.56791,                 1.0235,               0.008647,               0.008647,               0.008647
                     44,                 1.0019,                0.61626,                 1.0113,                0.90321,                0.79381,                0.89046,                0.62098,                0.96105,                0.56647,                 1.0105,               0.008614,               0.008614,               0.008614
                     45,                 1.0043,                0.61837,                 1.0066,                0.90326,                 0.7917,                0.89063,                0.60924,                0.99269,                0.56492,                 1.0183,               0.008581,               0.008581,               0.008581
                     46,                 1.0118,                0.62663,                 1.0215,                0.90389,                0.79917,                0.89712,                0.62956,                0.94087,                0.54503,                0.99654,               0.008548,               0.008548,               0.008548
                     47,                  1.003,                 0.6186,                 1.0178,                0.88742,                0.78697,                0.88256,                0.58892,                 1.0144,                 0.5653,                 1.0249,               0.008515,               0.008515,               0.008515
                     48,                0.99551,                0.61356,                 1.0153,                0.89704,                0.80615,                0.89913,                0.63217,                0.94318,                0.53905,                 1.0008,               0.008482,               0.008482,               0.008482
                     49,                0.99008,                0.60147,                 1.0034,                0.89991,                0.80787,                0.89822,                0.63558,                0.94683,                0.54522,                 1.0005,               0.008449,               0.008449,               0.008449
                     50,                0.98254,                0.60619,                 1.0094,                 0.9032,                0.80228,                0.89465,                0.61968,                0.98895,                 0.5614,                 1.0079,               0.008416,               0.008416,               0.008416
                     51,                0.99086,                0.60499,                 1.0079,                0.91094,                0.79732,                0.89914,                0.64095,                0.94135,                0.53977,                0.99895,               0.008383,               0.008383,               0.008383
                     52,                0.98936,                0.60793,                 1.0088,                0.91251,                0.78826,                0.89505,                0.63335,                0.92126,                0.54415,                0.99237,                0.00835,                0.00835,                0.00835
                     53,                0.97609,                0.59704,                  1.008,                0.89736,                0.81421,                0.90111,                0.63193,                0.96928,                0.54875,                 1.0066,               0.008317,               0.008317,               0.008317
                     54,                0.98261,                 0.6019,                 1.0046,                0.90593,                0.81948,                0.90922,                0.65307,                0.90831,                0.50802,                0.98664,               0.008284,               0.008284,               0.008284
                     55,                0.96915,                0.58595,                0.99774,                0.89997,                0.81018,                0.89462,                0.61334,                0.98889,                0.54476,                 1.0089,               0.008251,               0.008251,               0.008251
                     56,                0.96674,                 0.5795,                 1.0012,                0.89774,                0.79738,                0.90042,                0.61457,                0.98329,                0.54095,                 1.0166,               0.008218,               0.008218,               0.008218
                     57,                0.96618,                0.59321,                 1.0052,                0.89844,                0.82475,                0.90521,                0.63755,                0.94788,                0.52452,                 1.0105,               0.008185,               0.008185,               0.008185
