                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0324,                0.63973,                 1.0196,                0.89556,                0.77804,                0.87727,                0.60215,                 1.0178,                0.58879,                 1.0242,               0.008878,               0.008878,               0.008878
                     37,                  1.041,                0.64163,                 1.0199,                0.87735,                 0.7811,                0.87482,                0.60697,                 1.0285,                0.59078,                 1.0315,               0.008845,               0.008845,               0.008845
                     38,                 1.0491,                0.64229,                 1.0238,                0.90983,                0.77753,                0.88237,                0.62437,                0.96092,                0.56993,                 1.0111,               0.008812,               0.008812,               0.008812
                     39,                 1.0274,                0.63615,                 1.0214,                0.87822,                0.76601,                0.86918,                0.59612,                 1.0235,                 0.5934,                 1.0351,               0.008779,               0.008779,               0.008779
                     40,                 1.0414,                  0.647,                 1.0275,                0.89082,                0.75741,                0.86997,                0.59683,                0.97994,                0.57196,                 1.0089,               0.008746,               0.008746,               0.008746
                     41,                 1.0274,                0.63071,                 1.0244,                0.88395,                0.77505,                0.87503,                0.59121,                 1.0209,                0.56561,                 1.0323,               0.008713,               0.008713,               0.008713
                     42,                 1.0278,                0.63057,                 1.0138,                0.91024,                0.77953,                0.89052,                0.62243,                 0.9681,                0.55499,                 1.0123,                0.00868,                0.00868,                0.00868
                     43,                 1.0229,                0.63292,                 1.0204,                 0.8916,                0.78608,                0.88344,                0.61454,                0.99062,                0.56136,                 1.0192,               0.008647,               0.008647,               0.008647
                     44,                 1.0105,                0.61882,                 1.0116,                0.89135,                0.74918,                0.86612,                0.58694,                 1.0398,                0.58734,                 1.0299,               0.008614,               0.008614,               0.008614
                     45,                 1.0135,                0.62068,                 1.0071,                0.91819,                0.77983,                  0.892,                0.63812,                0.94011,                0.54056,                 1.0037,               0.008581,               0.008581,               0.008581
                     46,                 1.0162,                0.62862,                 1.0148,                0.88931,                0.79917,                0.89487,                 0.6271,                0.97794,                0.54422,                 1.0053,               0.008548,               0.008548,               0.008548
                     47,                  1.016,                 0.6206,                   1.02,                0.90354,                0.77893,                0.88519,                0.60185,                 1.0018,                0.56456,                 1.0169,               0.008515,               0.008515,               0.008515
                     48,                0.99766,                0.61855,                   1.01,                0.89177,                 0.7947,                0.89418,                0.62059,                0.96034,                 0.5457,                 1.0038,               0.008482,               0.008482,               0.008482
                     49,                0.99562,                0.60173,                0.99978,                 0.9115,                0.80542,                0.90042,                0.63771,                0.95522,                0.54501,                  1.002,               0.008449,               0.008449,               0.008449
                     50,                0.99439,                  0.605,                 1.0125,                0.89483,                0.81107,                0.89777,                0.62891,                0.98891,                0.54865,                 1.0175,               0.008416,               0.008416,               0.008416
                     51,                0.99651,                0.60662,                 1.0073,                0.87253,                 0.7515,                0.86092,                0.58525,                0.99563,                0.58101,                 1.0158,               0.008383,               0.008383,               0.008383
                     52,                0.99258,                0.60714,                 1.0075,                0.88862,                0.78399,                0.88707,                0.62116,                0.93821,                 0.5541,                 1.0001,                0.00835,                0.00835,                0.00835
                     53,                0.98442,                  0.599,                 1.0069,                0.90782,                0.77328,                0.88574,                0.60982,                 1.0096,                0.55466,                  1.023,               0.008317,               0.008317,               0.008317
                     54,                0.98887,                0.60581,                 1.0038,                0.89811,                0.78608,                0.89022,                0.62157,                0.96281,                0.54033,                 1.0031,               0.008284,               0.008284,               0.008284
                     55,                0.97905,                0.58767,                0.99789,                0.89056,                0.80622,                 0.8904,                0.60276,                 1.0533,                0.56206,                 1.0269,               0.008251,               0.008251,               0.008251
                     56,                0.97507,                0.58158,                0.99999,                0.90149,                0.76227,                0.88584,                0.62385,                0.94039,                0.54062,                 1.0039,               0.008218,               0.008218,               0.008218
                     57,                0.97182,                0.59266,                 1.0021,                0.90427,                0.79649,                0.89347,                0.63735,                0.93239,                0.53579,                 1.0029,               0.008185,               0.008185,               0.008185
                     58,                0.98467,                0.58591,                 1.0045,                0.91907,                0.80839,                0.90573,                0.65386,                0.90982,                0.52102,                 0.9902,               0.008152,               0.008152,               0.008152
                     59,                0.96899,                0.57691,                0.99113,                0.89122,                0.80363,                0.89573,                0.63413,                0.95946,                0.52823,                 1.0055,               0.008119,               0.008119,               0.008119
                     60,                0.97004,                0.58023,                 0.9964,                0.92315,                0.80777,                0.90673,                 0.6426,                0.92744,                0.51708,                0.99635,               0.008086,               0.008086,               0.008086
                     61,                0.97906,                0.59633,                0.99746,                0.89985,                0.80738,                 0.8988,                0.64432,                 0.9316,                0.53253,                 1.0014,               0.008053,               0.008053,               0.008053
                     62,                0.96078,                0.57913,                0.99328,                0.89817,                0.79798,                0.89102,                 0.6189,                 0.9852,                0.54519,                 1.0142,                0.00802,                0.00802,                0.00802
                     63,                0.94416,                0.56619,                0.98241,                0.90221,                0.81166,                0.89346,                 0.6481,                 0.9033,                0.51128,                0.98827,               0.007987,               0.007987,               0.007987
                     64,                0.96033,                0.58283,                0.99185,                0.92105,                0.80661,                0.90202,                0.65617,                0.88515,                 0.5057,                0.98147,               0.007954,               0.007954,               0.007954
                     65,                0.96183,                 0.5728,                0.99252,                0.91687,                0.80731,                 0.9026,                0.64899,                0.93017,                0.50815,                0.99382,               0.007921,               0.007921,               0.007921
                     66,                0.94987,                0.56875,                0.98277,                0.91822,                0.80542,                 0.9013,                0.64383,                0.93021,                0.50371,                 1.0003,               0.007888,               0.007888,               0.007888
                     67,                0.95582,                0.56766,                0.99122,                0.91463,                0.80958,                0.90222,                0.63056,                0.96346,                0.52178,                 1.0042,               0.007855,               0.007855,               0.007855
                     68,                0.96346,                0.57829,                 0.9914,                0.90629,                0.81523,                0.90219,                0.65042,                0.89991,                0.50476,                0.98951,               0.007822,               0.007822,               0.007822
                     69,                0.95357,                0.56819,                 0.9936,                0.92209,                0.81107,                0.90573,                0.65547,                0.90381,                 0.5113,                0.99297,               0.007789,               0.007789,               0.007789
                     70,                 0.9498,                0.57243,                0.99659,                 0.9167,                0.81529,                0.90715,                0.65171,                0.91047,                0.49574,                0.98784,               0.007756,               0.007756,               0.007756
                     71,                0.94026,                0.55353,                0.98652,                0.91188,                0.80839,                0.90623,                0.65198,                0.90914,                0.50066,                0.99032,               0.007723,               0.007723,               0.007723
                     72,                0.94741,                0.55989,                0.98373,                0.91354,                0.82051,                0.91188,                0.65917,                0.90847,                0.49345,                 0.9875,                0.00769,                0.00769,                0.00769
                     73,                0.95229,                0.55993,                0.98758,                0.91599,                0.80631,                0.90525,                0.63369,                0.95737,                 0.5035,                0.99548,               0.007657,               0.007657,               0.007657
                     74,                0.94946,                0.55557,                0.98522,                0.92331,                0.82387,                0.91093,                 0.6683,                0.87794,                0.48661,                0.98181,               0.007624,               0.007624,               0.007624
                     75,                0.94122,                0.55782,                0.98618,                0.91771,                0.82267,                0.91328,                 0.6643,                0.88218,                0.48597,                0.97905,               0.007591,               0.007591,               0.007591
                     76,                0.93792,                0.56145,                0.98722,                0.92085,                0.81375,                0.91052,                0.66097,                0.89723,                0.49182,                0.98699,               0.007558,               0.007558,               0.007558
                     77,                0.93644,                0.55515,                 0.9816,                0.91837,                0.82011,                0.91218,                0.66222,                0.90963,                0.48699,                0.99054,               0.007525,               0.007525,               0.007525
                     78,                0.94709,                  0.559,                0.98283,                 0.9231,                0.81404,                 0.9107,                0.65657,                 0.9081,                0.48675,                0.98911,               0.007492,               0.007492,               0.007492
                     79,                0.94113,                0.55355,                0.98519,                0.92125,                0.83184,                0.91454,                0.67288,                0.87127,                0.47864,                0.97689,               0.007459,               0.007459,               0.007459
                     80,                0.92603,                0.54748,                0.98269,                 0.9195,                0.82922,                0.91703,                0.66928,                0.88368,                0.47832,                0.98147,               0.007426,               0.007426,               0.007426
                     81,                0.93692,                0.54849,                0.97751,                0.90287,                0.83695,                0.91327,                0.65807,                 0.9131,                 0.4897,                0.98483,               0.007393,               0.007393,               0.007393
                     82,                0.94184,                0.55063,                0.97729,                0.91811,                0.83487,                0.91717,                0.67394,                0.87302,                0.47176,                0.97764,                0.00736,                0.00736,                0.00736
                     83,                0.93916,                0.55151,                 0.9883,                0.91858,                0.83247,                0.91613,                0.67353,                0.88364,                0.47582,                0.98366,               0.007327,               0.007327,               0.007327
                     84,                0.92772,                0.54629,                0.98016,                 0.9278,                0.82773,                0.91967,                0.67308,                0.87759,                0.47242,                0.97445,               0.007294,               0.007294,               0.007294
                     85,                 0.9392,                0.54458,                0.98482,                0.91691,                0.82862,                0.91632,                0.66812,                0.88335,                0.47841,                0.97698,               0.007261,               0.007261,               0.007261
                     86,                 0.9269,                0.54251,                 0.9713,                0.92547,                0.81851,                 0.9108,                0.65463,                0.91444,                0.48565,                0.98421,               0.007228,               0.007228,               0.007228
                     87,                0.93058,                0.53892,                0.97622,                 0.9155,                0.82089,                0.91385,                0.66455,                0.90022,                0.48228,                0.98442,               0.007195,               0.007195,               0.007195
                     88,                0.92787,                0.54696,                0.97798,                0.92103,                0.83071,                0.91633,                 0.6759,                0.85936,                0.47169,                0.97156,               0.007162,               0.007162,               0.007162
                     89,                  0.919,                0.52952,                0.97005,                0.91198,                0.82565,                0.91229,                0.66394,                0.88651,                0.47589,                0.97957,               0.007129,               0.007129,               0.007129
                     90,                0.92068,                0.53262,                0.97378,                 0.9063,                0.83011,                 0.9143,                0.66845,                0.88786,                0.47393,                0.98195,               0.007096,               0.007096,               0.007096
