                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0266,                0.63423,                  1.016,                0.90206,                0.79467,                0.88772,                0.63074,                0.94222,                0.57322,                0.99982,               0.008878,               0.008878,               0.008878
                     37,                 1.0355,                0.63626,                 1.0119,                0.88567,                0.78429,                0.88353,                0.62626,                0.94848,                0.57349,                 1.0019,               0.008845,               0.008845,               0.008845
                     38,                 1.0341,                0.63791,                 1.0137,                0.90361,                0.78221,                0.87827,                 0.6336,                 0.9321,                0.57144,                0.99873,               0.008812,               0.008812,               0.008812
                     39,                 1.0181,                0.63524,                  1.016,                 0.9159,                0.78093,                0.88981,                0.60807,                 1.0308,                0.59028,                 1.0251,               0.008779,               0.008779,               0.008779
                     40,                 1.0295,                0.64007,                 1.0223,                0.88454,                0.78786,                0.88325,                0.60644,                0.96165,                0.57321,                 1.0037,               0.008746,               0.008746,               0.008746
                     41,                  1.021,                0.62323,                 1.0208,                0.89032,                0.78518,                0.88471,                0.61878,                0.94609,                0.56146,                 1.0051,               0.008713,               0.008713,               0.008713
                     42,                 1.0238,                0.62771,                  1.009,                0.89542,                0.79223,                0.88736,                0.62985,                0.95753,                0.57249,                0.99897,                0.00868,                0.00868,                0.00868
                     43,                 1.0167,                0.62651,                 1.0155,                0.90953,                0.79084,                0.88624,                0.63849,                0.94354,                0.55194,                 1.0073,               0.008647,               0.008647,               0.008647
                     44,                 1.0056,                0.61772,                 1.0086,                0.90627,                0.79589,                0.89496,                0.63513,                0.92348,                 0.5615,                0.98828,               0.008614,               0.008614,               0.008614
                     45,                 1.0046,                0.61402,                 1.0022,                0.89693,                0.79381,                0.89049,                0.61147,                0.99449,                0.55158,                 1.0112,               0.008581,               0.008581,               0.008581
                     46,                 1.0157,                0.62244,                 1.0146,                0.89774,                0.80393,                0.89362,                0.62489,                0.99492,                0.55458,                 1.0133,               0.008548,               0.008548,               0.008548
                     47,                 1.0076,                0.61953,                  1.012,                0.89385,                0.80244,                 0.8928,                  0.623,                0.97653,                0.55721,                 1.0131,               0.008515,               0.008515,               0.008515
                     48,                 1.0014,                0.61583,                 1.0122,                0.89736,                0.78578,                0.88958,                0.61067,                 1.0018,                0.56069,                 1.0098,               0.008482,               0.008482,               0.008482
                     49,                0.99174,                0.59458,                0.99672,                0.91563,                0.79107,                0.89842,                0.64137,                0.93495,                 0.5451,                 1.0033,               0.008449,               0.008449,               0.008449
                     50,                0.98802,                0.60219,                 1.0049,                0.88932,                0.80036,                0.89492,                0.64327,                0.92526,                0.54604,                0.99307,               0.008416,               0.008416,               0.008416
                     51,                0.99001,                0.60174,                0.99711,                0.87971,                0.80073,                 0.8912,                0.62259,                0.96711,                0.55386,                 1.0046,               0.008383,               0.008383,               0.008383
                     52,                 0.9917,                0.60128,                  1.003,                0.90474,                0.80214,                0.89575,                0.62735,                0.95301,                0.54516,                0.99419,                0.00835,                0.00835,                0.00835
                     53,                0.98045,                  0.596,                 1.0021,                0.90515,                0.80918,                0.90177,                0.63742,                0.93832,                0.53569,                0.99572,               0.008317,               0.008317,               0.008317
                     54,                0.98389,                0.60798,                0.99812,                0.90176,                0.80839,                0.89922,                0.62777,                0.97326,                0.53796,                  1.002,               0.008284,               0.008284,               0.008284
                     55,                0.97806,                0.58728,                0.99653,                0.91488,                0.80214,                0.89932,                0.63219,                0.96511,                0.53529,                0.99423,               0.008251,               0.008251,               0.008251
                     56,                0.97122,                0.57889,                 0.9958,                0.92102,                0.79456,                0.89897,                0.64016,                0.93491,                0.54038,                0.99672,               0.008218,               0.008218,               0.008218
                     57,                0.96827,                0.59425,                0.99858,                0.92641,                 0.8015,                 0.8998,                 0.6419,                0.93375,                0.52564,                0.99591,               0.008185,               0.008185,               0.008185
                     58,                0.97842,                0.58198,                0.99956,                0.92064,                0.80899,                 0.9015,                 0.6482,                0.91102,                0.52597,                0.98891,               0.008152,               0.008152,               0.008152
                     59,                0.96235,                0.57564,                0.98831,                0.91678,                0.80964,                0.90284,                0.64353,                0.93824,                0.52645,                0.99335,               0.008119,               0.008119,               0.008119
